Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.122.184,50998,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.122.184,50998,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.122.184,50998,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.122.184,50998,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,865.0,0.0,Not found
192.168.122.184,50998,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.122.184,50998,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.122.184,50998,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,0.0,Not found
52:54:00:36:e1:78,192.168.122.1,0,0,0,0,,,
52:54:00:aa:a5:c4,192.168.122.184,0,0,0,0,,,
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,493.0,0.0,United States
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1412.0,0.0,United States
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1412.0,0.0,United States
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1412.0,0.0,United States
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1412.0,0.0,United States
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1412.0,0.0,United States
192.168.122.184,38908,142.250.187.202,443,"('lhr25s33-in-f10.1e100.net', [], ['142.250.187.202'])",6,1473.0,0.0,United States
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
142.250.187.202,443,192.168.122.184,38908,"('ip-192-168-122-184.eu-west-2.compute.internal', [], ['192.168.122.184'])",6,52.0,128.0,Not found
