Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
172.217.16.234,443,192.168.222.7,53896,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,0,Not found
192.168.222.7,53894,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52,0,United States
172.217.16.234,443,192.168.222.7,53894,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52,128,Not found
192.168.222.217,53730,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52,0,United States
172.217.16.234,443,192.168.222.217,53730,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52,128,Not found
104.16.125.175,443,192.168.222.217,44798,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,40,0,Not found
192.168.222.217,53726,172.217.16.234,443,"('mad08s04-in-f10.1e100.net', [], ['172.217.16.234'])",6,52,0,United States
172.217.16.234,443,192.168.222.217,53726,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52,0,Not found
192.168.222.217,35060,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86,0,Not found
192.168.222.1,53,192.168.222.217,35060,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,86,0,Not found
192.168.222.217,59524,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86,0,Not found
192.168.222.1,53,192.168.222.217,59524,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,86,0,Not found
192.168.222.217,48721,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,99,0,Not found
192.168.222.1,53,192.168.222.217,48721,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,99,0,Not found
192.168.222.217,48721,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,88,0,Not found
192.168.222.1,53,192.168.222.217,48721,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,88,0,Not found
192.168.222.217,40642,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,76,0,Not found
192.168.222.1,53,192.168.222.217,40642,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",17,92,0,Not found
