Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,124.0,8.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,8.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,88.0,8.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,8.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,560.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,68.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,96.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,96.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,120.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,128.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,144.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,128.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,200.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,80.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,164.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,680.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,96.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,204.0,8.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,124.0,8.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,8.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,88.0,8.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,52.0,8.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,112.0,8.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,8.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,112.0,8.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,8.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,1220.0,0.0,United States
13.248.212.111,443,192.168.222.217,45580,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,175.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,865.0,0.0,Not found
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,1221.0,0.0,United States
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,176.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,865.0,0.0,Not found
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,108.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,1221.0,0.0,United States
13.248.212.111,443,192.168.222.217,45580,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,175.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,865.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,1221.0,0.0,United States
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.217,22,192.168.222.1,50734,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,104.0,8.0,Not found
192.168.222.1,50734,192.168.222.217,22,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,8.0,Not found
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,175.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,865.0,0.0,Not found
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,108.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.7,22,192.168.222.1,60206,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",6,104.0,8.0,Not found
192.168.222.1,60206,192.168.222.7,22,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,8.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,1222.0,0.0,United States
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,176.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,865.0,0.0,Not found
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,108.0,0.0,United States
