Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
142.250.180.14,443,192.168.222.92,38806,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,952.0,0.0,Not found
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,52.0,0.0,United States
192.168.222.92,38806,142.250.180.14,443,"('lhr25s32-in-f14.1e100.net', [], ['142.250.180.14'])",6,52.0,0.0,United States
192.168.222.92,57174,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,80.0,0.0,Not found
192.168.222.1,53,192.168.222.92,57174,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,132.0,0.0,Not found
192.168.222.92,56968,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,77.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,60.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,60.0,128.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.1,53,192.168.222.92,56968,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",17,93.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,233.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,128.0,Not found
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,4306.0,128.0,Not found
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,61.0,128.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,145.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,286.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,344.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1470.0,0.0,Not found
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2888.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,4306.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2775.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f14.1e100.net', [], ['216.58.212.206'])",6,60.0,0.0,United States
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,60.0,0.0,Not found
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,290.0,0.0,United States
